,NOMBRE,EDAD,CORREO,TIPO,GRUPO,NIVEL,JORNADA,DIA,HORARIO,SUBMODULO,DOCENTE,MOMENTO,CONOCIMIENTO,DESEMPEÑO,PRODUCTO,BECADO,ESTADO
0,Jasmine Fleming,27,johnterry@example.org,REGULAR,3,3,NOCHE,MARTES,18:15-21:25,Programación para la Web II,Bradley Jimenez,2,4.1,4.7,3.1,SI,FORMACIÓN
1,Mario Carrillo,25,kristen61@example.net,EMPRESARIAL,32,2,NOCHE,VIERNES,18:15-21:25,Programación de Aplicaciones Móviles I,Edward Watson,3,3.6,3.6,4.7,NO,FORMACIÓN
2,Michael Warner,25,anthonylisa@example.org,REGULAR,18,3,NOCHE,VIERNES,18:15-21:25,Nuevas Tecnologias de la Programación,Michael Williams,1,3.7,5.0,3.4,SI,FORMACIÓN
3,Laura Reid,27,seanthompson@example.net,REGULAR,28,1,NOCHE,VIERNES,18:15-21:25,Metodologías Ágiles para la Programación,Emily Villegas,3,4.5,2.8,2.9,NO,FORMACIÓN
4,Lisa Goodman,18,aaron39@example.com,EMPRESARIAL,30,2,MAÑANA,SABADO,7:30-10:30,Programación para la Web I,Emily Villegas,1,3.4,4.6,2.9,SI,FORMACIÓN
5,Richard Frey,26,jonathan93@example.com,REGULAR,33,2,NOCHE,VIERNES,18:15-21:25,Programación de Aplicaciones Móviles I,Erin Smith,3,3.8,4.6,4.9,NO,FORMACIÓN
6,Tracy Wall,30,katherineparker@example.com,EMPRESARIAL,16,1,MAÑANA,JUEVES,7:30-10:30,Introducción a la Programación,Edward Watson,1,4.5,3.1,4.0,NO,FORMACIÓN
7,Sean Robertson,28,bensonjulie@example.com,REGULAR,2,2,MAÑANA,MARTES,7:30-10:30,Programación para la Web I,Edward Watson,2,4.6,5.0,4.9,NO,FORMACIÓN
8,Melinda Pena,24,clambert@example.com,EMPRESARIAL,31,2,MAÑANA,VIERNES,7:30-10:30,Gestión de Bases de Datos,Connie Pace,1,4.1,4.1,4.4,NO,FORMACIÓN
9,Brandon Kidd,27,kingchristopher@example.org,REGULAR,1,2,NOCHE,LUNES,18:15-21:25,Gestión de Bases de Datos,Raymond Miller,2,4.3,4.6,3.6,NO,FORMACIÓN
10,Jesse Pham,28,youngangela@example.com,REGULAR,37,1,NOCHE,JUEVES,18:15-21:25,Lógica de Programación,Edward Watson,1,3.9,5.0,3.8,NO,FORMACIÓN
11,Melissa Daniel,29,justinjohnson@example.com,EMPRESARIAL,8,1,MAÑANA-TARDE,SABADO,10:30-12:00 13:30-15:00,Metodologías Ágiles para la Programación,Edward Watson,3,2.8,3.5,4.6,NO,FORMACIÓN
12,David Richardson PhD,23,leah38@example.org,EMPRESARIAL,1,2,NOCHE,LUNES,18:15-21:25,Gestión de Bases de Datos,Kathryn Carroll,3,4.1,3.2,2.8,NO,FORMACIÓN
13,Amy Johnson,27,jasonchen@example.org,REGULAR,16,1,MAÑANA,JUEVES,7:30-10:30,Introducción a la Programación,Erica Ramirez,2,4.6,4.4,2.8,SI,FORMACIÓN
14,Jasmine Reed,29,hayesalicia@example.org,EMPRESARIAL,1,2,NOCHE,LUNES,18:15-21:25,Gestión de Bases de Datos,Erin Smith,2,4.2,4.0,4.5,NO,FORMACIÓN
15,Kimberly Alexander,27,francisalexander@example.com,EMPRESARIAL,31,2,MAÑANA,VIERNES,7:30-10:30,Gestión de Bases de Datos,Sierra Phillips,3,4.1,3.1,4.3,SI,FORMACIÓN
16,Brandon Kidd,27,kingchristopher@example.org,EMPRESARIAL,1,2,NOCHE,LUNES,18:15-21:25,Gestión de Bases de Datos,Raymond Miller,3,4.0,4.2,4.6,SI,FORMACIÓN
17,Suzanne Dunlap,23,simmonsjason@example.org,REGULAR,4,1,NOCHE,MIERCOLES,18:15-21:25,Metodologías Ágiles para la Programación,Raymond Miller,2,4.0,4.4,3.7,SI,FORMACIÓN
18,Blake Wilson,23,castillosteven@example.net,EMPRESARIAL,21,2,TARDE,SABADO,15:00-18:00,Programación de Aplicaciones Móviles I,Erica Ramirez,1,4.0,3.7,3.3,SI,FORMACIÓN
19,Michele Russell,27,neilvance@example.com,EMPRESARIAL,11,3,NOCHE,SABADO,18:15-21:25,Nuevas Tecnologias de la Programación,Kathryn Carroll,2,3.5,4.9,4.6,SI,CANCELADO
20,George Robinson,25,chad94@example.org,REGULAR,27,2,MAÑANA,JUEVES,7:30-10:30,Programación de Aplicaciones Móviles I,Anna Cruz,1,3.2,4.9,4.8,SI,FORMACIÓN
